name,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu,control,p_nom_extendable,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
West Burton,Coal,Conventional steam,0.0,Keadby,,1.0,1.0,1.0,Slack,False,0,1.0,0,0,1,0,0.0
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,91.729774,Walpole,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,91.729774
Baglan Bay CCS Gas,CCS Gas,CCS Gas,58.241127,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,58.241127
Severn Power CCS Gas,CCS Gas,CCS Gas,95.20184,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,95.20184
Blackburn CCS Gas,CCS Gas,CCS Gas,6.72013,Penwortham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,6.72013
Damhead Creek CCS Gas,CCS Gas,CCS Gas,90.16174,Kemsley,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,90.16174
Rye House CCS Gas,CCS Gas,CCS Gas,80.08155,Pelham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,80.08155
Shoreham CCS Gas,CCS Gas,CCS Gas,47.04091,Lovedean,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,47.04091
Castleford CCS Gas,CCS Gas,CCS Gas,6.2721214,Thornton/Drax/Eggborough,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,6.2721214
Sandbach CCS Gas,CCS Gas,CCS Gas,6.2721214,Daines,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,6.2721214
Thornhill CCS Gas,CCS Gas,CCS Gas,5.600108,Th. Marsh/Stocksbridge,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,5.600108
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,149.18689,Keadby,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,149.18689
South Humber Bank CCS Gas,CCS Gas,CCS Gas,152.88295,Keadby,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,152.88295
Langage CCS Gas,CCS Gas,CCS Gas,101.36196,S.W.Penisula,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,101.36196
Corby CCS Gas,CCS Gas,CCS Gas,45.58488,Ratcliffe,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,45.58488
Carrington CCS Gas,CCS Gas,CCS Gas,101.921974,Daines,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,101.921974
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,17.360336,Harker,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,17.360336
Rocksavage CCS Gas,CCS Gas,CCS Gas,90.721756,Deeside,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,90.721756
Coryton CCS Gas,CCS Gas,CCS Gas,89.60173,Kemsley,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,89.60173
Spalding CCS Gas,CCS Gas,CCS Gas,106.402054,Walpole,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,106.402054
Marchwood CCS Gas,CCS Gas,CCS Gas,100.57794,Lovedean,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,100.57794
Didcot B CCS Gas,CCS Gas,CCS Gas,162.40314,Bramley,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,162.40314
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,47.04091,Bramford,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,47.04091
Little Barford CCS Gas,CCS Gas,CCS Gas,80.97756,Sundon/East Claydon,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,80.97756
Pembroke CCS Gas,CCS Gas,CCS Gas,246.29276,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,246.29276
Staythorpe C CCS Gas,CCS Gas,CCS Gas,198.46783,Ratcliffe,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,198.46783
Seabank CCS Gas,CCS Gas,CCS Gas,138.21068,Melksham,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,138.21068
Peterhead CCS Gas,CCS Gas,CCS Gas,132.16255,Peterhead,100.0,1.0,1.0,1.0,PQ,False,0,1.0,0,0,1,0,132.16255
