name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable
Dinorwig,1431.724138,Pumped Storage Hydroelectric,0,5.808138136,0.865,0.865,8315.651565,Deeside,0,0,FALSE
Ffestiniog,298.2758621,Pumped Storage Hydroelectric,0,4.289375087,0.85,0.85,1279.417052,Deeside,0,0,FALSE
Cruachan,440,Pumped Storage Hydroelectric,0,17.79721173,0.865,0.865,7830.77316,Errochty,0,0,FALSE
Foyers,300,Pumped Storage Hydroelectric,0,23.1619637,0.865,0.865,6948.58911,Beauly,0,0,FALSE
Beauly Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Beauly,0,0,FALSE
Peterhead Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Peterhead,0,0,FALSE
Errochty Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Errochty,0,0,FALSE
Denny/Bonnybridge Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Denny/Bonnybridge,0,0,FALSE
Neilston Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Neilston,0,0,FALSE
Strathaven Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Strathaven,0,0,FALSE
Torness Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Torness,0,0,FALSE
Eccles Battery,69.23149429,Battery,0,1.253542991,0.95,0.95,86.78465439,Eccles,0,0,FALSE
Harker Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Harker,0,0,FALSE
Stella West Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Stella West,0,0,FALSE
Penwortham Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Penwortham,0,0,FALSE
Deeside Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Deeside,0,0,FALSE
Daines Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Daines,0,0,FALSE
