name,carrier,p_nom,type,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Drax - coal units,Coal,1980,,Thornton/Drax/Eggborough,,1,1,1
Ratcliffe,Coal,2000,,Ratcliffe,,1,1,1
Cottam,Coal,2008,,Keadby,,1,1,1
West Burton,Coal,2012,,Keadby,,1,1,1
Eggborough,Coal,1960,,Thornton/Drax/Eggborough,,1,1,1
Rugeley,Coal,1006,,Feckenham,,1,1,1
Aberthaw B,Coal,1586,,Melksham,,1,1,1
Fiddler`s Ferry,Coal,1961,,Deeside,,1,1,1
Dungeness B,Nuclear,1050,,Sellindge,5,0.03,0.03,0.73
Hartlepool,Nuclear,1180,,Stella West,5,0.03,0.03,0.73
Heysham 1,Nuclear,1155,,Penwortham,5,0.03,0.03,0.73
Heysham 2,Nuclear,1230,,Penwortham,5,0.03,0.03,0.73
Hinkley Point B,Nuclear,955,,S.W.Penisula,5,0.03,0.03,0.73
Hunterston B,Nuclear,965,,Neilston,5,0.03,0.03,0.73
Sizewell B,Nuclear,1198,,Bramford,5,0.03,0.03,0.73
Torness,Nuclear,1185,,Torness,5,0.03,0.03,0.73
Severn Power,Natural Gas,850,CCGT,Melksham,,1,1,1
Baglan Bay CCGT,Natural Gas,520,CCGT,Melksham,,1,1,1
Sutton Bridge,Natural Gas,819,CCGT,Walpole,,1,1,1
Barry,Natural Gas,235,CCGT,Melksham,,1,1,1
Glanford Brigg,Natural Gas,150,CCGT,Keadby,,1,1,1
Killingholme,Natural Gas,0,CCGT,Keadby,,1,1,1
Langage,Natural Gas,905,CCGT,S.W.Penisula,,1,1,1
Peterborough,Natural Gas,240,CCGT,Walpole,,1,1,1
South Humber Bank,Natural Gas,1310,CCGT,Keadby,,1,1,1
Corby,Natural Gas,401,CCGT,Ratcliffe,,1,1,1
Castleford,Natural Gas,56,CCGT,Thornton/Drax/Eggborough,,1,1,1
Connahs Quay,Natural Gas,1380,CCGT,Deeside,,1,1,1
Cottam Development Centre,Natural Gas,395,CCGT,Keadby,,1,1,1
Enfield,Natural Gas,408,CCGT,London,,1,1,1
Grain CHP *,Natural Gas,1365,CCGT,Kemsley,,1,1,1
Sandbach,Natural Gas,56,CCGT,Daines,,1,1,1
Thornhill,Natural Gas,50,CCGT,Th. Marsh/Stocksbridge,,1,1,1
West Burton CCGT,Natural Gas,1332,CCGT,Keadby,,1,1,1
Deeside,Natural Gas,515,CCGT,Deeside,,1,1,1
Saltend,Natural Gas,1200,CCGT,Keadby,,1,1,1
Coryton,Natural Gas,800,CCGT,Kemsley,,1,1,1
Rocksavage,Natural Gas,810,CCGT,Deeside,,1,1,1
Spalding,Natural Gas,880,CCGT,Walpole,,1,1,1
Marchwood,Natural Gas,898,CCGT,Lovedean,,1,1,1
Didcot B,Natural Gas,1470,CCGT,Bramley,,1,1,1
Great Yarmouth,Natural Gas,420,CCGT,Bramford,,1,1,1
Little Barford,Natural Gas,749,CCGT,Sundon/East Claydon,,1,1,1
Pembroke,Natural Gas,2269,CCGT,Melksham,,1,1,1
