name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,,
Dinorwig,1741.158621,Pumped Storage Hydroelectric,0,18.44883689,0.865,0.865,32122.35139,Deeside,0,0,FALSE,,
Ffestiniog,362.7413793,Pumped Storage Hydroelectric,0,13.62467274,0.85,0.85,4942.232583,Deeside,0,0,FALSE,,
Cruachan,2316.540541,Pumped Storage Hydroelectric,0,56.53065553,0.865,0.865,130955.5553,Errochty,0,0,FALSE,,
Foyers,1579.459459,Pumped Storage Hydroelectric,0,73.57113078,0.865,0.865,116202.6184,Beauly,0,0,FALSE,,
Beauly Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Beauly,0,0,FALSE,,
Peterhead Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Peterhead,0,0,FALSE,,
Errochty Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Errochty,0,0,FALSE,,
Denny/Bonnybridge Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Denny/Bonnybridge,0,0,FALSE,,
Neilston Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Neilston,0,0,FALSE,,
Strathaven Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Strathaven,0,0,FALSE,,
Torness Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Torness,0,0,FALSE,,
Eccles Battery,511.6791599,Battery,0,1.79833674,0.95,0.95,920.1714322,Eccles,0,0,FALSE,,
Harker Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Harker,0,0,FALSE,,
Stella West Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Stella West,0,0,FALSE,,
Penwortham Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Penwortham,0,0,FALSE,,
Deeside Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Deeside,0,0,FALSE,,
Daines Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Daines,0,0,FALSE,,
Th. Marsh/Stocksbridge Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Th. Marsh/Stocksbridge,0,0,FALSE,,
Thornton/Drax/Eggborough Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Thornton/Drax/Eggborough,0,0,FALSE,,
Keadby Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Keadby,0,0,FALSE,,
Ratcliffe Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Ratcliffe,0,0,FALSE,,
Feckenham Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Feckenham,0,0,FALSE,,
Walpole Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Walpole,0,0,FALSE,,
Bramford Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Bramford,0,0,FALSE,,
Pelham Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Pelham,0,0,FALSE,,
Sundon/East Claydon Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Sundon/East Claydon,0,0,FALSE,,
Melksham Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Melksham,0,0,FALSE,,
Bramley Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Bramley,0,0,FALSE,,
London Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,London,0,0,FALSE,,
Kemsley Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Kemsley,0,0,FALSE,,
Sellindge Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Sellindge,0,0,FALSE,,
Lovedean Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,Lovedean,0,0,FALSE,,
S.W.Penisula Battery,1068.289991,Battery,0,1.79833674,0.95,0.95,1921.145139,S.W.Penisula,0,0,FALSE,,
